Building Name,Shorthand,Room Number,Capacity,Type
BOB WRIGHT CENTRE,BWC,A104,140,CLAS
BOB WRIGHT CENTRE,BWC,B150,358,CLAS
BUSINESS AND ECONOMICS,B&E,363,30,PRIO
CLEARIHUE,CLE,A118,24,CLAS
CLEARIHUE,CLE,A127,105,CLAS
CLEARIHUE,CLE,A207,59,CLAS
CLEARIHUE,CLE,A208,43,CLAS
CLEARIHUE,CLE,A216,32,CLAS
CLEARIHUE,CLE,A217,31,CLAS
CLEARIHUE,CLE,A221,22,CLAS
CLEARIHUE,CLE,A224,86,CLAS
CLEARIHUE,CLE,A225,35,CLAS
CLEARIHUE,CLE,A308,12,PRIO
CLEARIHUE,CLE,A312,30,CLAS
CLEARIHUE,CLE,A313,46,CLAS
CLEARIHUE,CLE,A317,47,CLAS
CLEARIHUE,CLE,A320,45,CLAS
CLEARIHUE,CLE,A325,21,CLAS
CLEARIHUE,CLE,A326,23,CLAS
CLEARIHUE,CLE,A329,30,CLAS
CLEARIHUE,CLE,A330,22,CLAS
CLEARIHUE,CLE,B215,20,PRIO
CLEARIHUE,CLE,B315,20,PRIO
CLEARIHUE,CLE,B415,20,PRIO
CLEARIHUE,CLE,C108,32,CLAS
CLEARIHUE,CLE,C109,35,CLAS
CLEARIHUE,CLE,C110,42,CLAS
CLEARIHUE,CLE,C111,28,CLAS
CLEARIHUE,CLE,C112,69,CLAS
CLEARIHUE,CLE,C113,28,CLAS
CLEARIHUE,CLE,C115,30,CLAS
CLEARIHUE,CLE,C116,12,SEM
CLEARIHUE,CLE,C118,12,PRIO
CLEARIHUE,CLE,C214,22,PRIO
CLEARIHUE,CLE,C316,20,PRIO
CLEARIHUE,CLE,D125,27,CLAS
CLEARIHUE,CLE,D126,30,CLAS
CLEARIHUE,CLE,D130,21,CLAS
CLEARIHUE,CLE,D131,27,CLAS
CLEARIHUE,CLE,D132,36,CLAS
CLEARIHUE,CLE,D134,21,CLAS
CLEARIHUE,CLE,D285,14,SEM
CONTINUING STUDIES,CON,20,20,CLAS
CORNETT,COR,A120,81,CLAS
CORNETT,COR,A121,71,CLAS
CORNETT,COR,A125,65,CLAS
CORNETT,COR,A128,32,CLAS
CORNETT,COR,A129,61,CLAS
CORNETT,COR,A132,14,SEM
CORNETT,COR,A221,93,CLAS
CORNETT,COR,S225,64,CLAS
CORNETT,COR,A229,62,CLAS
CORNETT,COR,B107,60,PRIO
CORNETT,COR,B108,71,CLAS
CORNETT,COR,B111,50,CLAS
CORNETT,COR,B112,71,PRIO
CORNETT,COR,B129,67,CLAS
CORNETT,COR,B135,80,CLAS
CORNETT,COR,B143,77,CLAS
